id	filename	md5	size	state
197313b5-e687-4c73-b6ae-c4ca9ec185ec	b3f7a18b-19ff-4b72-a3c1-9d1a0f89ecd4.htseq.counts.gz	951114e067cb9af373543be6bbf66cf0	253383	released
f5798310-38f9-420c-a461-8e04e30343fa	40a5ed6b-a4db-4f80-991b-b884a0d4036c.htseq.counts.gz	f8f59abdbca887692546fce77e16ffc9	253961	released
01c84d3b-497e-41e3-86d4-e3cb6021c8bd	39d6716f-d898-494e-9f41-7972de1e6670.htseq.counts.gz	b32f6305861346ca0c980fb439ad6edf	252810	released
c10a8b0b-3f74-443c-b969-d53354548a51	8b26a752-d1fa-4a0d-8600-9f7bf97cc94b.htseq.counts.gz	83d32838a359893705bf0875e07e9903	252511	released
b1a468be-1d09-4d8a-82f2-6e304e65c473	a1e80ada-950c-439a-a360-f99c02ccec93.htseq.counts.gz	29a260ed22f890988207379c6554fb6b	251453	released
b1e94349-54d5-49da-84b8-faed325a2b5d	5d3c2256-e8ed-4145-8c2d-b221c75dc049.htseq.counts.gz	644be8ea2c078650a97a85fd73c96162	259846	released
ce55c7c3-26f9-41a2-a4b9-c442e284e6b8	8ddc8e8b-d131-4f4e-96ec-078ced613de6.htseq.counts.gz	12bc4ca66cdf8acfd3251b2802a92376	252419	released
36915c7e-93a0-451c-82d5-0a4c45548ce5	4fd836c4-32d6-4d8c-a660-0b198ebfd954.htseq.counts.gz	45f724b4b7a75d8976bfdf05d92adc33	248945	released
f9813672-322a-4309-b43d-b4e8a643a900	d7bff2a7-1ffe-495c-b297-3b734b688267.htseq.counts.gz	0bd9ac2c61c0e6fd585f68a8bef938e9	255107	released
18865beb-04ae-48e2-ab7e-3285d44bf87c	743ef32d-2d6c-4ae0-959a-8c20de3e6734.htseq.counts.gz	4b2d206232c8a30a1ddf67b761c3adca	246397	released
bb52a0e9-b855-4871-ae2c-f1579b77b42b	506c50e7-9e5a-434d-bb0d-2fd224c33bfb.htseq.counts.gz	d3006c3cfd02ba2244e300b0679463b7	254779	released
baa40da8-0b37-493b-82ae-4ac3c33efadb	c592e62e-5de0-4c40-8e4c-f56b9546a545.htseq.counts.gz	afa1209529cb6add61935e5c35754f19	249939	released
ea1cda6a-d54d-43d9-b0b9-e7b707f9b611	0e397288-82e4-48c7-9332-2ce733befdae.htseq.counts.gz	f235ab56869811e44318ee7b8e82ebcc	257058	released
1b8ce3a3-4e5b-407f-a765-20d3ca124b5d	03d7d46d-fc0b-41ad-9086-414355a432af.htseq.counts.gz	aa3dd1c325dbcfc2eb0eb09bdf729490	253296	released
59c647c4-8172-4365-a15e-e95ab2100ae6	e023c283-afcf-4334-b741-3dce8e98b0f6.htseq.counts.gz	20baf91b9f2c0ec17527e8708d0ac8e2	254434	released
2847f0dc-9b62-4b88-a864-279bd23358bb	7cf82e1d-569e-4a10-a384-3144f3c00305.htseq.counts.gz	e62f37af7a290bbe59dc9440a82a0549	253652	released
95f48cc8-2b49-4b48-a366-02215e703c66	c71784ba-45ac-4377-b098-0a0e5ba6d58c.htseq.counts.gz	74dba2f8f12632f5e28f9d10a085e5d8	255168	released
a1e49050-b025-476e-8727-7f801caa62ab	97745843-751b-4437-82e0-31ed8c323e91.htseq.counts.gz	b1b9ef37d02706ebb2be4b7418d6666b	255836	released
73099153-1c5a-49d3-bfd7-cbeb9cbed478	e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.htseq.counts.gz	2865d40fc0095969801600b77ed325df	252126	released
6fd0ea91-1bc1-4951-a62b-5aa3bc7c397d	1e7b2b3b-f84d-42b2-b991-42d44f10340b.htseq.counts.gz	d6bb453558297e6fe19b34aeedb04aa0	255412	released
0da87efb-4635-4243-a961-8b90e0b042ec	bb804a2f-24b2-46f0-9407-7eda83120066.htseq.counts.gz	111275bca5765adb83a3b55ddf13690b	246775	released
8288a2f4-bb47-4c19-ae37-d4da2ad57d11	48a74528-5279-4175-978d-4ef38e6fc835.htseq.counts.gz	e32253cae40c42005146aa33a39ab10b	256773	released
d8496f60-b150-4c50-b21b-bd68d514ab43	94dcaa51-315e-43d9-875c-4c4ae2e9bef3.htseq.counts.gz	402c56432470085178469b19c5930d58	249595	released
4fc5571b-6609-4693-a46e-040f87da64c8	95e7cabf-16bf-43b8-9478-84ef60df13dd.htseq.counts.gz	ad0ccdc909165766de1854c0848f786c	254297	released
51bda076-9ed0-4b37-8c45-c558ac585fe4	ad2fae5f-ac5e-466a-9aef-8bd77ba15961.htseq.counts.gz	2cb06cb745195cf38a040765379d6c47	257650	released
88a30dcb-9eb7-4c77-8d08-4e2405b846bd	54feb6b1-f384-40f5-a680-d0b1764d4d2d.htseq.counts.gz	115c9d95d82eab692718433b242fad17	254594	released
f807e5d8-c4a1-4b28-9801-cef7cd5f3afa	56b1cfde-d0f9-472f-bb70-f1fd1f6fa7a4.htseq.counts.gz	d888db8ef2e23cf1fde3374f111f6673	256573	released
45c126d9-a2a0-4614-955c-27b1a8bbd032	8e884e57-d4c4-4b44-a7a3-76bc9694388f.htseq.counts.gz	084617a81004e8ec48767ca2ef128741	256392	released
9dac278c-3edf-45ef-afe0-36921d94757e	ce85344b-0f16-4f96-b8da-af518e2adc71.htseq.counts.gz	bd182741125a5c3c92eb3f183fd6c368	251134	released
f2006ff8-5dba-44a2-9fb8-3ecb4b38af08	5310b432-6d4a-4b07-a9c3-d3db29515dfc.htseq.counts.gz	906e5f4051ca208b8386d1ce178bb670	244481	released
56a1a889-ef62-435e-8627-fe6c52c7193d	1fb17947-620e-4655-8b19-7adef7238ab5.htseq.counts.gz	4a975afe12f7be2263d7d2929d2a0c6d	258828	released
e47ded12-ac91-4443-981a-94832d0b3593	b0ae2bb5-9b1b-47a3-abc7-76c02bf8a229.htseq.counts.gz	00277e1b474dc26ca28a56b42d43271a	255331	released
0d92c396-aa52-4703-b0d1-2847d860e7e6	470d1bf7-55b9-4c8c-a3f3-f7ad6c1a4c77.htseq.counts.gz	51df051c2c056bfd88ceaba7f0c41a10	253843	released
b68200d7-34d4-44dd-a6b1-a04fe801a8d7	66174391-806a-41f0-ad9d-685e2adad5fa.htseq.counts.gz	f57914856a2e8132e82007e7e6b27ca7	251907	released
c1762c7e-cebc-4380-a207-eec4dc44aa63	95b8a790-8600-489c-bd34-09803ca600ae.htseq.counts.gz	281a9e755063200401e45f0ccf88cf80	246847	released
a775df54-a60e-4fb9-b05d-19cde289c0fd	c0a8b0f3-7a09-4be4-ae22-a00df281b783.htseq.counts.gz	731afd72dc1a070fc8ee22163cd095e1	252116	released
d382ff76-879d-4071-9e12-442cef2fd973	01cdf894-fd1d-42c0-866b-10c68cde7c54.htseq.counts.gz	d051daa42bc9fe439e5d1ace2ca7f013	253073	released
a560504f-6cd1-416d-93c7-77aab2cc921c	0e3c0131-7ad3-425d-ade3-a75296581f43.htseq.counts.gz	f121037a3df2b07720343671402cba24	252957	released
7e3320d7-92f3-492a-80fd-29410cc2d018	981c01e0-2914-46db-b3b1-906bda5d7382.htseq.counts.gz	88116783543f624a509170a33d3f616e	254349	released
5c38a2c0-e614-401d-b434-b9c627d4185c	9410727e-c872-4d2b-bba9-1f63c73b6908.htseq.counts.gz	b075814050597bbec2c7e47f7ddfa1f7	255882	released
2ea08d5a-1ae6-4944-8b07-aabe1599dc2a	379553b2-13c2-4543-a9c3-9616fc249730.htseq.counts.gz	e32666d6f22987529043ecf1fd92bf20	257405	released
1ee9e4c3-3e4d-4e05-80f9-d95943d681d8	4fa6a1c4-e574-4003-8461-3b494a113644.htseq.counts.gz	abe76d3e71ca2205793c206bcf517f12	256912	released
d23e34ff-dd3e-465e-b556-7302a71f22ab	225ccdc9-0d78-4d35-a969-080e6db2d42b.htseq.counts.gz	b87cd71eab70d333e6f1b1a1ca7f7601	252524	released
e076a77a-e488-43d7-a314-f77e16cbf417	5445d9fd-a8a9-4fc0-9876-b9bebc549f9b.htseq.counts.gz	d99adcf7ca36aa337167f8adad09c773	247914	released
0fc56ca0-cb67-433e-8a49-1fcb2d0fb603	df706741-6d56-4953-8d15-ef916d73848a.htseq.counts.gz	ecd3b33b1a4bc93fdf846e2ca863847f	245520	released
9bc800dc-4549-47e6-817b-3097cefcd355	d827a931-364f-4e8f-8a50-d600f619be5f.htseq.counts.gz	4fe13bc003bbbfcdbfdb668dcd45bb16	256303	released
e1693499-228d-4260-8dce-c1363478edd0	4bf2bea7-00ef-485c-b9e5-035f0ea62b1d.htseq.counts.gz	2347bccfe047ed7cbab92c1ac614b5ff	253812	released
31c42508-1f6c-4320-92df-6cc5ca448957	8b178cb1-d22e-4657-80c6-d7efcddf43a6.htseq.counts.gz	2577bf16e0ddecd146963b2a31509ee9	255717	released
613b738f-b848-49a6-8933-b12cf537d781	ec241da3-82df-46a8-8a54-b1e977ac4834.htseq.counts.gz	eb600e1fcc2b8ac6fea8c9a00c5d6352	251557	released
497f632c-2819-4861-9c93-b6752e7510c6	c909a75f-23e8-4c96-82f2-72e46fdb8155.htseq.counts.gz	33249413e669af17ce9a7b73e7681b97	255603	released
9a4eb5d0-bd9e-4fc1-8c5e-d8abb8a9e4a1	cf5790d4-7c94-4b99-9c84-1174a277cefd.htseq.counts.gz	600412a745b4e3f0bbac04e30a2f2477	252264	released
